,session_idx,scan_idx,field_idx,px_width,px_height,um_width,um_height,masks_num,artifact_masks_num,soma_masks_num,is_preferred,um_center_x,um_center_y,um_center_z
56,6,7,1,248.0,440.0,620.0,1100.0,877,101,776,True,-520.0,-280.0,100.0
57,6,7,2,248.0,440.0,620.0,1100.0,819,85,734,True,60.0,-280.0,100.0
58,6,7,3,248.0,440.0,620.0,1100.0,1420,99,1321,True,-520.0,-280.0,240.0
59,6,7,4,248.0,440.0,620.0,1100.0,1459,140,1319,True,60.0,-280.0,240.0
60,6,7,5,248.0,440.0,620.0,1100.0,1374,112,1262,True,-520.0,-280.0,380.0
61,6,7,6,248.0,440.0,620.0,1100.0,1337,151,1186,True,60.0,-280.0,380.0
62,6,7,7,248.0,440.0,620.0,1100.0,740,9,731,True,-520.0,-280.0,520.0
63,6,7,8,248.0,440.0,620.0,1100.0,576,18,558,True,60.0,-280.0,520.0
64,7,3,1,248.0,440.0,620.0,1100.0,1403,105,1298,True,-545.0,-245.0,190.0
65,7,3,2,248.0,440.0,620.0,1100.0,1301,84,1217,True,35.0,-245.0,190.0
66,7,3,3,248.0,440.0,620.0,1100.0,1487,135,1352,True,-545.0,-245.0,330.0
67,7,3,4,248.0,440.0,620.0,1100.0,1341,122,1219,True,35.0,-245.0,330.0
68,7,3,5,248.0,440.0,620.0,1100.0,1114,73,1041,True,-545.0,-245.0,405.0
69,7,3,6,248.0,440.0,620.0,1100.0,910,50,860,True,35.0,-245.0,405.0
70,7,3,7,248.0,440.0,620.0,1100.0,950,60,890,True,-545.0,-245.0,470.0
71,7,3,8,248.0,440.0,620.0,1100.0,790,49,741,True,35.0,-245.0,470.0
72,7,4,1,248.0,440.0,620.0,1100.0,1522,141,1381,True,-545.0,-245.0,130.0
73,7,4,2,248.0,440.0,620.0,1100.0,1488,147,1341,True,35.0,-245.0,130.0
74,7,4,3,248.0,440.0,620.0,1100.0,1669,141,1528,True,-545.0,-245.0,200.0
75,7,4,4,248.0,440.0,620.0,1100.0,1623,170,1453,True,35.0,-245.0,200.0
76,7,4,5,248.0,440.0,620.0,1100.0,1709,207,1502,True,-545.0,-245.0,340.0
77,7,4,6,248.0,440.0,620.0,1100.0,1760,251,1509,True,35.0,-245.0,340.0
78,7,4,7,248.0,440.0,620.0,1100.0,1418,218,1200,True,-545.0,-245.0,480.0
79,7,4,8,248.0,440.0,620.0,1100.0,1486,199,1287,True,35.0,-245.0,480.0
80,7,5,1,248.0,440.0,620.0,1100.0,1404,116,1288,True,-545.0,-245.0,175.0
81,7,5,2,248.0,440.0,620.0,1100.0,1074,122,952,True,35.0,-245.0,175.0
82,7,5,3,248.0,440.0,620.0,1100.0,1464,120,1344,True,-545.0,-245.0,215.0
83,7,5,4,248.0,440.0,620.0,1100.0,1113,120,993,True,35.0,-245.0,215.0
84,7,5,5,248.0,440.0,620.0,1100.0,1517,149,1368,True,-545.0,-245.0,350.0
85,7,5,6,248.0,440.0,620.0,1100.0,1105,125,980,True,35.0,-245.0,350.0
86,7,5,7,248.0,440.0,620.0,1100.0,858,42,816,True,-545.0,-245.0,490.0
87,7,5,8,248.0,440.0,620.0,1100.0,499,46,453,True,35.0,-245.0,490.0
88,8,5,1,248.0,440.0,620.0,1100.0,1466,59,1407,True,-525.0,-240.0,210.0
89,8,5,2,248.0,440.0,620.0,1100.0,1425,87,1338,True,55.0,-240.0,210.0
90,8,5,3,248.0,440.0,620.0,1100.0,1494,65,1429,True,-525.0,-240.0,220.0
91,8,5,4,248.0,440.0,620.0,1100.0,1437,93,1344,True,55.0,-240.0,220.0
92,8,5,5,248.0,440.0,620.0,1100.0,1532,94,1438,True,-525.0,-240.0,350.0
93,8,5,6,248.0,440.0,620.0,1100.0,1426,138,1288,True,55.0,-240.0,350.0
94,8,5,7,248.0,440.0,620.0,1100.0,954,47,907,True,-525.0,-240.0,490.0
95,8,5,8,248.0,440.0,620.0,1100.0,845,55,790,True,55.0,-240.0,490.0
96,8,7,1,248.0,440.0,620.0,1100.0,1422,81,1341,False,-525.0,-240.0,170.0
97,8,7,2,248.0,440.0,620.0,1100.0,1287,81,1206,False,55.0,-240.0,170.0
98,8,7,3,248.0,440.0,620.0,1100.0,1411,68,1343,False,-525.0,-240.0,180.0
99,8,7,4,248.0,440.0,620.0,1100.0,1276,71,1205,False,55.0,-240.0,180.0
100,8,7,5,248.0,440.0,620.0,1100.0,940,42,898,False,-525.0,-240.0,460.0
101,8,7,6,248.0,440.0,620.0,1100.0,818,54,764,False,55.0,-240.0,460.0
102,8,7,7,248.0,440.0,620.0,1100.0,539,0,539,False,-525.0,-240.0,600.0
103,8,7,8,248.0,440.0,620.0,1100.0,234,0,234,False,55.0,-240.0,600.0
104,9,3,1,248.0,440.0,620.0,1100.0,1479,112,1367,True,-480.0,-215.0,295.0
105,9,3,2,248.0,440.0,620.0,1100.0,1425,81,1344,True,100.0,-215.0,295.0
106,9,3,3,248.0,440.0,620.0,1100.0,1453,125,1328,True,-480.0,-215.0,305.0
107,9,3,4,248.0,440.0,620.0,1100.0,1425,124,1301,True,100.0,-215.0,305.0
108,9,3,5,248.0,440.0,620.0,1100.0,1440,135,1305,True,-480.0,-215.0,315.0
109,9,3,6,248.0,440.0,620.0,1100.0,1439,111,1328,True,100.0,-215.0,315.0
110,9,4,1,248.0,440.0,620.0,1100.0,1410,89,1321,True,-480.0,-215.0,150.0
111,9,4,2,248.0,440.0,620.0,1100.0,1358,112,1246,True,100.0,-215.0,150.0
112,9,4,3,248.0,440.0,620.0,1100.0,1400,79,1321,True,-480.0,-215.0,160.0
113,9,4,4,248.0,440.0,620.0,1100.0,1404,98,1306,True,100.0,-215.0,160.0
114,9,4,5,248.0,440.0,620.0,1100.0,1443,80,1363,True,-480.0,-215.0,170.0
115,9,4,6,248.0,440.0,620.0,1100.0,1400,102,1298,True,100.0,-215.0,170.0
116,9,6,1,372.0,600.0,620.0,1000.0,1361,101,1260,True,-480.0,-215.0,155.0
117,9,6,2,372.0,600.0,620.0,1000.0,1362,86,1276,True,100.0,-215.0,155.0
118,9,6,3,372.0,600.0,620.0,1000.0,1369,99,1270,True,-480.0,-215.0,175.0
119,9,6,4,372.0,600.0,620.0,1000.0,1415,91,1324,True,100.0,-215.0,175.0
